"","X.x","Date","Species","site","transect","average_value","Week.x","month","year.x","YearMonth.x","YearMonthSite.x","WeekYearSite","cape.x","X.y","YearMonth.y","SiteCode","average_chl","Week.y","cape.y","year.y","YearMonthSite.y"
"492",480,"2024-05-23","Postelsia palmaeformis","FC",3,12.6666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"493",480,"2024-05-23","Postelsia palmaeformis","FC",3,12.6666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"494",480,"2024-05-23","Postelsia palmaeformis","FC",3,12.6666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"495",481,"2024-05-23","Postelsia palmaeformis","FC",4,4.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"496",481,"2024-05-23","Postelsia palmaeformis","FC",4,4.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"497",481,"2024-05-23","Postelsia palmaeformis","FC",4,4.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"498",482,"2024-05-23","Postelsia palmaeformis","FC",5,13,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"499",482,"2024-05-23","Postelsia palmaeformis","FC",5,13,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"500",482,"2024-05-23","Postelsia palmaeformis","FC",5,13,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"501",483,"2024-05-24","Alaria marginata","BB",2,1.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"502",483,"2024-05-24","Alaria marginata","BB",2,1.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"503",483,"2024-05-24","Alaria marginata","BB",2,1.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"504",484,"2024-05-24","Alaria marginata","BB",3,8.66666666666667,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"505",484,"2024-05-24","Alaria marginata","BB",3,8.66666666666667,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"506",484,"2024-05-24","Alaria marginata","BB",3,8.66666666666667,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"507",485,"2024-05-24","Alaria marginata","BB",4,12.1,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"508",485,"2024-05-24","Alaria marginata","BB",4,12.1,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"509",485,"2024-05-24","Alaria marginata","BB",4,12.1,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"510",486,"2024-05-24","Alaria marginata","BB",5,6.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"511",486,"2024-05-24","Alaria marginata","BB",5,6.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"512",486,"2024-05-24","Alaria marginata","BB",5,6.85714285714286,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"513",487,"2024-05-24","Egregia menziesii","BB",1,0.2,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"514",487,"2024-05-24","Egregia menziesii","BB",1,0.2,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"515",487,"2024-05-24","Egregia menziesii","BB",1,0.2,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"516",488,"2024-05-24","Egregia menziesii","BB",2,0.333333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"517",488,"2024-05-24","Egregia menziesii","BB",2,0.333333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"518",488,"2024-05-24","Egregia menziesii","BB",2,0.333333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"519",489,"2024-05-24","Egregia menziesii","BB",3,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"520",489,"2024-05-24","Egregia menziesii","BB",3,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"521",489,"2024-05-24","Egregia menziesii","BB",3,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"522",490,"2024-05-24","Egregia menziesii","BB",4,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"523",490,"2024-05-24","Egregia menziesii","BB",4,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"524",490,"2024-05-24","Egregia menziesii","BB",4,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"525",491,"2024-05-24","Egregia menziesii","BB",5,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"526",491,"2024-05-24","Egregia menziesii","BB",5,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"527",491,"2024-05-24","Egregia menziesii","BB",5,0,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"528",492,"2024-05-24","Hedophyllum sessile","BB",1,2.36363636363636,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"529",492,"2024-05-24","Hedophyllum sessile","BB",1,2.36363636363636,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"530",492,"2024-05-24","Hedophyllum sessile","BB",1,2.36363636363636,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"531",493,"2024-05-24","Hedophyllum sessile","BB",2,2.33333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"532",493,"2024-05-24","Hedophyllum sessile","BB",2,2.33333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"533",493,"2024-05-24","Hedophyllum sessile","BB",2,2.33333333333333,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"534",494,"2024-05-24","Hedophyllum sessile","BB",3,2.69230769230769,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"535",494,"2024-05-24","Hedophyllum sessile","BB",3,2.69230769230769,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"536",494,"2024-05-24","Hedophyllum sessile","BB",3,2.69230769230769,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"537",495,"2024-05-24","Hedophyllum sessile","BB",4,5.25,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"538",495,"2024-05-24","Hedophyllum sessile","BB",4,5.25,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"539",495,"2024-05-24","Hedophyllum sessile","BB",4,5.25,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"540",496,"2024-05-24","Hedophyllum sessile","BB",5,4.42857142857143,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",7,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"541",496,"2024-05-24","Hedophyllum sessile","BB",5,4.42857142857143,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",8,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"542",496,"2024-05-24","Hedophyllum sessile","BB",5,4.42857142857143,21,5,24,"May 2024","May 2024_BB","21_24_BB","Foulweather",9,"May 2024","BB",2.06,21,"Foulweather",24,"May 2024_BB"
"543",497,"2024-05-24","Hedophyllum sessile","FC",1,3,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"544",497,"2024-05-24","Hedophyllum sessile","FC",1,3,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"545",497,"2024-05-24","Hedophyllum sessile","FC",1,3,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"546",498,"2024-05-24","Hedophyllum sessile","FC",2,2.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"547",498,"2024-05-24","Hedophyllum sessile","FC",2,2.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"548",498,"2024-05-24","Hedophyllum sessile","FC",2,2.75,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"549",499,"2024-05-24","Hedophyllum sessile","FC",3,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"550",499,"2024-05-24","Hedophyllum sessile","FC",3,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"551",499,"2024-05-24","Hedophyllum sessile","FC",3,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"552",500,"2024-05-24","Hedophyllum sessile","FC",4,5.18181818181818,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"553",500,"2024-05-24","Hedophyllum sessile","FC",4,5.18181818181818,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"554",500,"2024-05-24","Hedophyllum sessile","FC",4,5.18181818181818,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"555",501,"2024-05-24","Hedophyllum sessile","FC",5,1.33333333333333,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"556",501,"2024-05-24","Hedophyllum sessile","FC",5,1.33333333333333,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"557",501,"2024-05-24","Hedophyllum sessile","FC",5,1.33333333333333,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"558",502,"2024-05-24","Lessoniopsis littoralis","FC",1,0.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"559",502,"2024-05-24","Lessoniopsis littoralis","FC",1,0.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"560",502,"2024-05-24","Lessoniopsis littoralis","FC",1,0.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"561",503,"2024-05-24","Lessoniopsis littoralis","FC",2,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"562",503,"2024-05-24","Lessoniopsis littoralis","FC",2,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"563",503,"2024-05-24","Lessoniopsis littoralis","FC",2,0.166666666666667,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"564",504,"2024-05-24","Lessoniopsis littoralis","FC",3,1.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"565",504,"2024-05-24","Lessoniopsis littoralis","FC",3,1.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"566",504,"2024-05-24","Lessoniopsis littoralis","FC",3,1.125,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"567",505,"2024-05-24","Lessoniopsis littoralis","FC",4,1.21428571428571,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"568",505,"2024-05-24","Lessoniopsis littoralis","FC",4,1.21428571428571,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"569",505,"2024-05-24","Lessoniopsis littoralis","FC",4,1.21428571428571,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"570",506,"2024-05-24","Lessoniopsis littoralis","FC",5,1.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"571",506,"2024-05-24","Lessoniopsis littoralis","FC",5,1.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"572",506,"2024-05-24","Lessoniopsis littoralis","FC",5,1.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"573",507,"2024-05-25","Egregia menziesii","YB",1,2,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"574",507,"2024-05-25","Egregia menziesii","YB",1,2,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"575",507,"2024-05-25","Egregia menziesii","YB",1,2,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"576",508,"2024-05-25","Egregia menziesii","YB",2,2.14285714285714,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"577",508,"2024-05-25","Egregia menziesii","YB",2,2.14285714285714,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"578",508,"2024-05-25","Egregia menziesii","YB",2,2.14285714285714,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"579",509,"2024-05-25","Egregia menziesii","YB",3,1.42857142857143,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"580",509,"2024-05-25","Egregia menziesii","YB",3,1.42857142857143,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"581",509,"2024-05-25","Egregia menziesii","YB",3,1.42857142857143,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"582",510,"2024-05-25","Hedophyllum sessile","YB",1,7.23076923076923,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"583",510,"2024-05-25","Hedophyllum sessile","YB",1,7.23076923076923,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"584",510,"2024-05-25","Hedophyllum sessile","YB",1,7.23076923076923,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"585",511,"2024-05-25","Hedophyllum sessile","YB",2,7.84615384615385,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"586",511,"2024-05-25","Hedophyllum sessile","YB",2,7.84615384615385,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"587",511,"2024-05-25","Hedophyllum sessile","YB",2,7.84615384615385,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"588",512,"2024-05-25","Hedophyllum sessile","YB",3,0.875,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"589",512,"2024-05-25","Hedophyllum sessile","YB",3,0.875,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"590",512,"2024-05-25","Hedophyllum sessile","YB",3,0.875,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"591",513,"2024-05-25","Hedophyllum sessile","YB",4,5.66666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"592",513,"2024-05-25","Hedophyllum sessile","YB",4,5.66666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"593",513,"2024-05-25","Hedophyllum sessile","YB",4,5.66666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"594",514,"2024-05-25","Hedophyllum sessile","YB",5,12.375,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"595",514,"2024-05-25","Hedophyllum sessile","YB",5,12.375,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"596",514,"2024-05-25","Hedophyllum sessile","YB",5,12.375,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"597",515,"2024-05-25","Laminaria sinclairii","YB",1,31.6666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"598",515,"2024-05-25","Laminaria sinclairii","YB",1,31.6666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"599",515,"2024-05-25","Laminaria sinclairii","YB",1,31.6666666666667,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"600",516,"2024-05-25","Laminaria sinclairii","YB",2,20.3333333333333,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"601",516,"2024-05-25","Laminaria sinclairii","YB",2,20.3333333333333,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"602",516,"2024-05-25","Laminaria sinclairii","YB",2,20.3333333333333,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"603",517,"2024-05-25","Laminaria sinclairii","YB",3,40.5,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",34,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"604",517,"2024-05-25","Laminaria sinclairii","YB",3,40.5,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",35,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
"605",517,"2024-05-25","Laminaria sinclairii","YB",3,40.5,21,5,24,"May 2024","May 2024_YB","21_24_YB","Perpetua",36,"May 2024","YB",20.5066666666667,21,"Perpetua",24,"May 2024_YB"
